Year,Chart,Artist,Song,Genre Combined,Genre 1,Genre 2,Genre 3,Word count,Unique Word Count,Cluster k3,Cluster k4,Cluster k5
1982,43,Stevie Wonder,That Girl,adult standards funk motown,adult standards, funk, motown,298,118,0,0,1
1982,44,Hall & Oates,Private Eyes,album rock classic rock mellow gold,album rock, classic rock, mellow gold,328,92,0,0,1
1982,45,Lindsey Buckingham,Trouble,album rock art rock classic rock,album rock, art rock, classic rock,210,49,0,2,4
1982,46,Roberta Flack,Making Love,adult standards classic soul disco,adult standards, classic soul, disco,147,64,0,2,4
1982,47,Juice Newton,Love's Been a Little Bit Hard on Me,classic country pop country country dawn,classic country pop, country, country dawn,293,66,0,0,1
1982,48,Rod Stewart,Young Turks,classic rock mellow gold soft rock,classic rock, mellow gold, soft rock,399,171,2,0,2
1982,49,The J. Geils Band,Freeze Frame,album rock art rock blues rock,album rock, art rock, blues rock,218,102,0,2,4
1982,50,REO Speedwagon,Keep the Fire Burnin',album rock classic rock hard rock,album rock, classic rock, hard rock,353,100,2,0,1
1982,51,Huey Lewis and the News,Do You Believe in Love,album rock classic rock mellow gold,album rock, classic rock, mellow gold,320,93,0,0,1
1982,52,Paul Davis,Cool Night,album rock bubblegum pop country rock,album rock, bubblegum pop, country rock,253,74,0,2,1
1982,53,.38 Special,Caught Up In You,album rock classic rock country rock,album rock, classic rock, country rock,425,125,2,0,2
1982,54,Diana Ross,Why Do Fools Fall In Love?,adult standards dance pop disco,adult standards, dance pop, disco,195,57,0,2,4
1982,55,Alabama,Love in the First Degree,country country road country rock,country, country road, country rock,266,95,0,2,1
1982,56,Royal Philharmonic Orchestra,Hooked On Classics,british orchestra orchestra,british orchestra, orchestra,,1,1,0,2,4
1982,57,"Crosby, Stills & Nash",Wasted on the Way,album rock blues rock classic rock,album rock, blues rock, classic rock,198,79,0,2,4
1982,58,Eddie Money,Think I'm in Love,album rock classic rock country rock,album rock, classic rock, country rock,223,74,0,2,4
1982,59,Donna Summer,Love Is in Control (Finger on the Trigger),dance pop disco hi-nrg,dance pop, disco, hi-nrg,263,133,0,2,1
1982,60,Karla Bonoff,Personally,mellow gold soft rock,mellow gold, soft rock,,229,59,0,2,4
1982,61,Quincy Jones featuring James Ingram,One Hundred Ways,adult standards quiet storm soft rock,adult standards, quiet storm, soft rock,247,111,0,2,1
1982,62,Elton John,Blue Eyes,glam rock mellow gold piano rock,glam rock, mellow gold, piano rock,155,59,0,2,4
1982,63,The Go Go's,Our Lips Are Sealed,album rock candy pop girl group,album rock, candy pop, girl group,204,68,0,2,4
1982,64,Sheena Easton,You Could Have Been with Me,adult standards mellow gold minneapolis sound,adult standards, mellow gold, minneapolis sound,163,76,0,2,4
1982,65,America,You Can Do Magic,album rock art rock classic rock,album rock, art rock, classic rock,514,105,2,3,2
1982,66,Hall & Oates,Did It in a Minute,album rock classic rock mellow gold,album rock, classic rock, mellow gold,506,109,2,3,2
1982,67,A Flock of Seagulls,I Ran (So Far Away),new romantic new wave new wave pop,new romantic, new wave, new wave pop,193,74,0,2,4
1982,68,Jackson Browne,Somebody's Baby,album rock classic rock country rock,album rock, classic rock, country rock,340,88,0,0,1
1982,69,Commodores,Oh No,adult standards disco funk,adult standards, disco, funk,146,67,0,2,4
1982,70,Paul McCartney,Take It Away,album rock art rock beatlesque,album rock, art rock, beatlesque,272,82,0,2,1
1982,71,Deniece Williams,It's Gonna Take a Miracle,classic soul disco funk,classic soul, disco, funk,367,80,2,0,1
1982,72,Kenny Rogers,Love Will Turn You Around,adult standards classic country pop country,adult standards, classic country pop, country,278,113,0,0,1
1982,73,Journey,Don't Stop Believin',album rock classic rock hard rock,album rock, classic rock, hard rock,220,100,0,2,4
1982,74,Barbra Streisand,Comin' In and Out of Your Life,adult standards hollywood mellow gold,adult standards, hollywood, mellow gold,225,105,0,2,4
1982,75,Laura Branigan,Gloria,disco new wave pop soft rock,disco, new wave pop, soft rock,333,104,0,0,1
1982,76,Elton John,Empty Garden (Hey Hey Johnny),glam rock mellow gold piano rock,glam rock, mellow gold, piano rock,410,124,2,0,2
1982,77,Neil Diamond,Yesterday's Songs,adult standards brill building pop classic rock,adult standards, brill building pop, classic rock,181,67,0,2,4
1982,78,Joan Jett & The Blackhearts,Crimson and Clover,glam punk rock,glam punk, rock,,121,41,0,2,4
1982,79,The Police,Every Little Thing She Does Is Magic,album rock classic rock mellow gold,album rock, classic rock, mellow gold,399,101,2,0,2
1982,80,Air Supply,Here I Am,mellow gold soft rock,mellow gold, soft rock,,275,88,0,2,1
1982,81,Michael McDonald,I Keep Forgettin' (Every Time You're Near),mellow gold soft rock yacht rock,mellow gold, soft rock, yacht rock,317,82,0,0,1
1982,82,Kool & the Gang,Get Down on It,disco funk quiet storm,disco, funk, quiet storm,863,62,1,1,0
1982,83,Ronnie Milsap,Any Day Now,classic country pop country country rock,classic country pop, country, country rock,191,75,0,2,4
1982,84,Olivia Newton John,Make a Move on Me,adult standards australian dance disco,adult standards, australian dance, disco,270,76,0,2,1
1982,85,Kool & the Gang,Take My Heart (You Can Have It If You Want It),disco funk quiet storm,disco, funk, quiet storm,1200,446,1,1,0
1982,86,Diana Ross,Mirror Mirror,adult standards dance pop disco,adult standards, dance pop, disco,368,107,2,0,1
1982,87,The Go Go's,Vacation,album rock candy pop girl group,album rock, candy pop, girl group,205,78,0,2,4
1982,88,Van Halen,"Oh, Pretty Woman",album rock classic rock hard rock,album rock, classic rock, hard rock,178,84,0,2,4
1982,89,The Pointer Sisters,Should I Do It,dance pop disco girl group,dance pop, disco, girl group,504,91,2,3,2
1982,90,Billy Idol,Hot in the City,album rock classic rock dance rock,album rock, classic rock, dance rock,265,107,0,2,1
1982,91,Kim Wilde,Kids in America,europop new romantic new wave,europop, new romantic, new wave,352,140,2,0,1
1982,92,Little River Band,Man on Your Mind,album rock art rock australian rock,album rock, art rock, australian rock,378,139,2,0,1
1982,93,Michael Murphey,What's Forever For,country rock cowboy western mellow gold,country rock, cowboy western, mellow gold,153,85,0,2,4
1982,94,The Rolling Stones,Waiting on a Friend,british invasion classic rock rock,british invasion, classic rock, rock,205,70,0,2,4
1982,95,Stevie Wonder,Do I Do,adult standards funk motown,adult standards, funk, motown,871,183,1,1,0
1982,96,Loverboy,Working for the Weekend,album rock classic canadian rock classic rock,album rock, classic canadian rock, classic rock,255,74,0,2,1
1982,97,Greg Guidry,Goin' Down,deep soft rock,deep soft rock,,,129,75,0,2,4
1982,98,Christopher Cross,Arthur's Theme (Best That You Can Do),adult standards album rock classic rock,adult standards, album rock, classic rock,339,97,0,0,1
1982,99,Kenny Rogers,Through the Years,adult standards classic country pop country,adult standards, classic country pop, country,305,106,0,0,1
1982,100,Stevie Nicks,Edge of Seventeen,album rock heartland rock mellow gold,album rock, heartland rock, mellow gold,543,154,2,3,2
1983,1,The Police,Every Breath You Take,album rock classic rock mellow gold,album rock, classic rock, mellow gold,373,77,2,0,1
1983,2,Michael Jackson,Billie Jean,pop r&b soul,pop, r&b, soul,648,150,1,3,3
1983,3,Irene Cara,Flashdance... What a Feeling,disco new wave pop soft rock,disco, new wave pop, soft rock,268,83,0,2,1
1983,4,Men at Work,Down Under,album rock australian rock classic rock,album rock, australian rock, classic rock,361,93,2,0,1
1983,5,Michael Jackson,Beat It,pop r&b soul,pop, r&b, soul,519,98,2,3,2
1983,6,Bonnie Tyler,Total Eclipse of the Heart,europop new wave pop soft rock,europop, new wave pop, soft rock,674,132,1,3,3
1983,7,Hall & Oates,Maneater,album rock classic rock mellow gold,album rock, classic rock, mellow gold,377,99,2,0,1
1983,8,Patti Austin and James Ingram,"Baby, Come to Me",adult standards quiet storm soft rock,adult standards, quiet storm, soft rock,479,123,2,3,2
1983,9,Michael Sembello,Maniac,hi-nrg,hi-nrg,,,322,119,0,0,1
1983,10,Eurythmics,Sweet Dreams (Are Made of This),art rock dance rock europop,art rock, dance rock, europop,326,43,0,0,1
1983,11,Culture Club,Do You Really Want to Hurt Me,disco europop mellow gold,disco, europop, mellow gold,280,97,0,0,1
1983,12,Eddie Rabbitt and Crystal Gayle,You and I,classic country pop country country rock,classic country pop, country, country rock,187,52,0,2,4
1983,13,Dexys Midnight Runners,Come On Eileen,new romantic new wave new wave pop,new romantic, new wave, new wave pop,438,150,2,0,2
1983,14,Bob Seger & The Silver Bullet Band,Shame on the Moon,album rock classic rock country rock,album rock, classic rock, country rock,192,87,0,2,4
1983,15,Donna Summer,She Works Hard for the Money,dance pop disco hi-nrg,dance pop, disco, hi-nrg,434,92,2,0,2
1983,16,Sergio Mendes,Never Gonna Let You Go,bossa nova brazilian jazz samba,bossa nova, brazilian jazz, samba,444,120,2,0,2
1983,17,Duran Duran,Hungry Like the Wolf,dance rock new romantic new wave,dance rock, new romantic, new wave,387,99,2,0,1
1983,18,David Bowie,Let's Dance,art rock classic rock glam rock,art rock, classic rock, glam rock,288,72,0,0,1
1983,19,Golden Earring,Twilight Zone,album rock blues rock classic rock,album rock, blues rock, classic rock,535,130,2,3,2
1983,20,Frida,I Know There's Something Going On,,,,,281,71,0,2,1
1983,21,The Greg Kihn Band,Jeopardy,album rock,album rock,,,235,78,0,2,4
1983,22,Eddy Grant,Electric Avenue,guyanese pop uk reggae,guyanese pop, uk reggae,,355,91,2,0,1
1983,23,Thomas Dolby,She Blinded Me with Science,art rock new romantic new wave,art rock, new romantic, new wave,281,81,0,0,1
1983,24,Toto,Africa,album rock classic rock mellow gold,album rock, classic rock, mellow gold,320,124,0,0,1
1983,25,Prince,Little Red Corvette,funk funk rock minneapolis sound,funk, funk rock, minneapolis sound,472,146,2,3,2
1983,26,The Pretenders,Back on the Chain Gang,album rock art rock classic rock,album rock, art rock, classic rock,216,95,0,2,4
1983,27,Joe Cocker and Jennifer Warnes,Up Where We Belong,,,,,225,78,0,2,4
1983,28,Styx,Mr. Roboto,album rock art rock classic rock,album rock, art rock, classic rock,358,132,2,0,1
1983,29,Lionel Richie,You Are,adult standards disco mellow gold,adult standards, disco, mellow gold,413,84,2,0,2
1983,30,After the Fire,Der Kommissar,new wave,new wave,,,484,148,2,3,2
1983,31,Taco,Puttin' on the Ritz,,,,,386,122,2,0,2
1983,32,Marvin Gaye,Sexual Healing,classic soul funk motown,classic soul, funk, motown,453,131,2,0,2
1983,33,The Human League,(Keep Feeling) Fascination,art rock new romantic new wave,art rock, new romantic, new wave,202,78,0,2,4
1983,34,Culture Club,Time (Clock of the Heart),disco europop mellow gold,disco, europop, mellow gold,326,73,0,0,1
1983,35,Men Without Hats,The Safety Dance,classic canadian rock new romantic new wave,classic canadian rock, new romantic, new wave,384,93,2,0,1
1983,36,Toni Basil,Mickey,new wave pop,new wave pop,,,608,92,2,3,3
1983,37,Phil Collins,You Can't Hurry Love,mellow gold rock drums soft rock,mellow gold, rock drums, soft rock,399,115,2,0,2
1983,38,Journey,Separate Ways (Worlds Apart),album rock classic rock hard rock,album rock, classic rock, hard rock,255,98,0,2,1
1983,39,Hall & Oates,One on One,album rock classic rock mellow gold,album rock, classic rock, mellow gold,366,99,2,0,1
1983,40,Kenny Rogers and Sheena Easton,We've Got Tonight,adult standards classic country pop country,adult standards, classic country pop, country,258,96,0,2,1
1983,41,Prince,1999,funk funk rock minneapolis sound,funk, funk rock, minneapolis sound,568,170,2,3,3
1983,42,Stray Cats,Stray Cat Strut,instrumental surf rock-and-roll rockabilly,instrumental surf, rock-and-roll, rockabilly,228,100,0,2,4
1983,43,Billy Joel,Allentown,classic rock mellow gold piano rock,classic rock, mellow gold, piano rock,239,130,0,2,1
1983,44,Stevie Nicks,Stand Back,album rock heartland rock mellow gold,album rock, heartland rock, mellow gold,442,106,2,0,2
1983,45,Billy Joel,Tell Her About It,classic rock mellow gold piano rock,classic rock, mellow gold, piano rock,477,157,2,3,2
1983,46,Naked Eyes,Always Something There to Remind Me,new romantic new wave new wave pop,new romantic, new wave, new wave pop,241,75,0,2,4
1983,47,Lionel Richie,Truly,adult standards disco mellow gold,adult standards, disco, mellow gold,152,70,0,2,4
1983,48,Don Henley,Dirty Laundry,album rock art rock classic rock,album rock, art rock, classic rock,558,132,2,3,2
1983,49,Michael Jackson and Paul McCartney,The Girl Is Mine,album rock art rock beatlesque,album rock, art rock, beatlesque,465,132,2,3,2
1983,50,Kajagoogoo,Too Shy,new romantic new wave new wave pop,new romantic, new wave, new wave pop,161,48,0,2,4
1983,51,Adam Ant,Goody Two Shoes,new romantic new wave new wave pop,new romantic, new wave, new wave pop,444,116,2,0,2
1983,52,The Clash,Rock the Casbah,classic rock permanent wave punk,classic rock, permanent wave, punk,360,136,2,0,1
1983,53,Madness,Our House,ska ska revival,ska, ska revival,,352,129,2,0,1
