Year,Chart,Artist,Song,Genre,Original Genre
1960,74,Swingin' School,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1960,75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,adult standards,adult standards jazz blues lounge
1960,76,Stairway to Heaven,Neil Sedaka,adult standards,adult standards brill building pop bubblegum pop
1960,77,My Home Town,Paul Anka,adult standards,adult standards canadian pop easy listening
1960,78,Georgia on My Mind,Ray Charles,adult standards,adult standards classic soul jazz blues
1960,79,Cherry Pie,Skip and Flip,N/A,
1960,80,Wonderful World,Sam Cooke,rock,adult standards classic soul rock-and-roll
1960,81,Tracy's Theme,Spencer Ross,N/A,
1960,82,Lady Luck,Lloyd Price,adult standards,adult standards doo-wop louisiana blues
1960,83,Step by Step,The Crests,rock,doo-wop rhythm and blues rock-and-roll
1960,84,Happy Go Lucky Me,Paul Evans,N/A,novelty
1960,85,Young Emotions,Ricky Nelson,adult standards,adult standards bubblegum pop lounge
1960,86,Dreamin',Johnny Burnette,rock,adult standards rock-and-roll rockabilly
1960,87,Poetry in Motion,Johnny Tillotson,adult standards,adult standards bubblegum pop doo-wop
1960,88,O Dio Mio,Annette Funicello,pop,brill building pop
1960,89,You Talk Too Much,Joe Jones,jazz,hard bop jazz drums
1960,90,Beatnik Fly,Johnny and the Hurricanes,rock,merseybeat rock-and-roll rockabilly
1960,91,When Will I Be Loved,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1960,92,Let's Think About Living,Bob Luman,rock,rock-and-roll rockabilly
1960,93,Heartaches by the Number,Guy Mitchell,rock,adult standards deep adult standards rock-and-roll
1960,94,My Little Corner of the World,Anita Bryant,adult standards,deep adult standards
1960,95,Doggin' Around,Jackie Wilson,adult standards,adult standards chicago soul classic soul
1960,96,Little Bitty Girl,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1960,97,Money (That's What I Want),Barrett Strong,r&b,motown
1960,98,Stay,Maurice Williams and the Zodiacs,r&b,doo-wop
1960,99,Lonely Weekends,Charlie Rich,rock,arkansas country country country rock
1960,100,Sandy,Larry Hall,adult standards,deep adult standards instrumental worship
1961,1,Tossin' and Turnin',Bobby Lewis,r&b,rhythm and blues
1961,2,I Fall to Pieces,Patsy Cline,adult standards,adult standards nashville sound
1961,3,Michael,The Highwaymen,country,outlaw country
1961,4,Crying,Roy Orbison,rock,adult standards bubblegum pop classic rock
1961,5,Runaway,Del Shannon,adult standards,adult standards bubblegum pop merseybeat
1961,6,My True Story,The Jive Five,r&b,doo-wop rhythm and blues
1961,7,Pony Time,Chubby Checker,rock,adult standards bubblegum pop rock-and-roll
1961,8,Wheels,The String A Longs,surf,surf music
1961,9,Raindrops,Dee Clark,r&b,chicago soul doo-wop rhythm and blues
1961,10,Wooden Heart,Joe Dowell,adult standards,deep adult standards
1961,11,Calcutta,Lawrence Welk,adult standards,adult standards easy listening lounge
1961,12,Take Good Care of My Baby,Bobby Vee,adult standards,adult standards brill building pop bubblegum pop
1961,13,Running Scared,Roy Orbison,rock,adult standards bubblegum pop classic rock
1961,14,Dedicated to the One I Love,The Shirelles,adult standards,adult standards classic girl group doo-wop
1961,15,Last Night,The Mar Keys,soul,instrumental soul memphis soul soul
1961,16,Will You Love Me Tomorrow,The Shirelles,adult standards,adult standards classic girl group doo-wop
1961,17,Exodus,Ferrante & Teicher,adult standards,adult standards easy listening exotica
1961,18,Where the Boys Are,Connie Francis,adult standards,adult standards brill building pop lounge
1961,19,Hit the Road Jack,Ray Charles,adult standards,adult standards classic soul jazz blues
1961,20,Sad Movies (Make Me Cry),Sue Thompson,adult standards,adult standards deep adult standards
1961,21,Mother in Law,Ernie K Doe,funk,louisiana blues new orleans blues new orleans funk
1961,22,Bristol Stomp,The Dovells,rock,doo-wop rhythm and blues rock-and-roll
1961,23,Travelin' Man,Ricky Nelson,adult standards,adult standards bubblegum pop lounge
1961,24,Shop Around,The Miracles,r&b,classic soul motown quiet storm
1961,25,The Boll Weevil Song,Brook Benton,r&b,rhythm and blues soul southern soul
1961,26,A Hundred Pounds of Clay,Gene McDaniels,adult standards,bubblegum pop deep adult standards doo-wop
1961,27,The Mountain's High,Dick and Dee Dee,r&b,doo-wop rhythm and blues
1961,28,Don't Worry,Marty Robbins,adult standards,cowboy western nashville sound
1961,29,On the Rebound,Floyd Cramer,adult standards,easy listening honky-tonk piano nashville sound
1961,30,Portrait of My Love,Steve Lawrence,adult standards,adult standards deep adult standards easy listening
1961,31,Quarter to Three,Gary U.S. Bonds,rock,rhythm and blues rock-and-roll rockabilly
1961,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,rock,brill building pop doo-wop rock-and-roll
1961,33,Calendar Girl,Neil Sedaka,adult standards,adult standards brill building pop bubblegum pop
1961,34,I Like It Like That,Chris Kenner,blues,louisiana blues new orleans blues new orleans soul
1961,35,Apache,Jorgen Ingmann,N/A,dansktop
1961,36,Don't Bet Money Honey,Linda Scott,pop,brill building pop
1961,37,Without You,Johnny Tillotson,adult standards,adult standards bubblegum pop doo-wop
1961,38,Wings of a Dove,Ferlin Husky,adult standards,nashville sound
1961,39,Little Sister,Elvis Presley,rock,rock-and-roll rockabilly
1961,40,Blue Moon,The Marcels,rock,doo-wop rhythm and blues rock-and-roll
1961,41,Daddy's Home,Shep and the Limelites,N/A,
1961,42,This Time,Troy Shondell,adult standards,deep adult standards
1961,43,(I Don't Know Why) But I Do,Clarence Frogman Henry,adult standards,adult standards doo-wop louisiana blues
1961,44,Asia Minor,Kokomo,blues,blues chicago blues delta blues
1961,45,Hello Walls,Faron Young,country,classic country pop honky tonk traditional country
1961,46,Runaround Sue,Dion,rock,adult standards doo-wop rock-and-roll
1961,47,Yellow Bird,Arthur Lyman,adult standards,easy listening exotica jazz vibraphone
1961,48,Hurt,Timi Yuro,adult standards,adult standards
1961,49,Hello Mary Lou,Ricky Nelson,adult standards,adult standards bubblegum pop lounge
1961,50,There's a Moon Out Tonight,The Capris,r&b,doo-wop rhythm and blues
1961,51,Surrender,Elvis Presley,rock,rock-and-roll rockabilly
1961,52,I Love How You Love Me,The Paris Sisters,pop,brill building pop classic girl group
1961,53,Ya Ya,Lee Dorsey,funk,classic soul funk new orleans funk
1961,54,School Is Out,Gary U.S. Bonds,rock,rhythm and blues rock-and-roll rockabilly
1961,55,Mexico,Bob Moore,N/A,
1961,56,You Don't Know What You've Got (Until You Lose It),Ral Donner,r&b,rhythm and blues
1961,57,Walk Right Back,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
