Year,Chart,Artist,Song,Genre,Original Genre
1986,66,R.O.C.K. in the U.S.A.,John Cougar Mellencamp,rock,album rock classic rock folk rock
1986,67,Who's Johnny,El DeBarge,r&b,contemporary r&b quiet storm urban contemporary
1986,68,Word Up!,Cameo,disco,disco electro funk
1986,69,Why Can't This Be Love,Van Halen,rock,album rock classic rock hard rock
1986,70,Silent Running (On Dangerous Ground),Mike + The Mechanics,rock,album rock art rock classic rock
1986,71,Typical Male,Tina Turner,rock,disco new wave pop soft rock
1986,72,Small Town,John Cougar Mellencamp,rock,album rock classic rock folk rock
1986,73,Tarzan Boy,Baltimora,disco,italian disco new romantic new wave pop
1986,74,All I Need Is a Miracle,Mike + The Mechanics,rock,album rock art rock classic rock
1986,75,Sweet Freedom,Michael McDonald,rock,mellow gold soft rock yacht rock
1986,76,True Blue,Madonna,pop,dance pop pop
1986,77,Rumors,Timex Social Club,N/A,new jack swing
1986,78,Life in a Northern Town,Dream Academy,pop,baroque pop new romantic new wave
1986,79,Bad Boy,Miami Sound Machine,pop,new wave pop
1986,80,Sleeping Bag,ZZ Top,rock,album rock blues rock classic rock
1986,81,Tonight She Comes,The Cars,rock,album rock art rock classic rock
1986,82,Love Touch,Rod Stewart,rock,classic rock mellow gold soft rock
1986,83,A Love Bizarre,Sheila E.,funk,freestyle funk minneapolis sound
1986,84,Throwing It All Away,Genesis,rock,album rock art rock classic rock
1986,85,Baby Love,Regina,rock,indie pop lilith piano rock
1986,86,Election Day,Arcadia,N/A,
1986,87,Nikita,Elton John,rock,glam rock mellow gold piano rock
1986,88,Take Me Home,Phil Collins,rock,mellow gold rock drums soft rock
1986,89,Walk This Way,Run D.M.C. featuring Aerosmith,rock,album rock classic rock hard rock
1986,90,Sweet Love,Anita Baker,funk,contemporary r&b funk neo soul
1986,91,Your Wildest Dreams,Moody Blues,rock,album rock art rock blues rock
1986,92,Spies Like Us,Paul McCartney,rock,album rock art rock beatlesque
1986,93,Object of My Desire,Starpoint,disco,funk post-disco
1986,94,Dreamtime,Daryl Hall,rock,album rock classic rock mellow gold
1986,95,Tender Love,Force MDs,funk,contemporary r&b funk new jack swing
1986,96,King for a Day,Thompson Twins,N/A,mellow gold new romantic new wave
1986,97,Love Will Conquer All,Lionel Richie,disco,adult standards disco mellow gold
1986,98,A Different Corner,George Michael,pop,dance pop new wave pop
1986,99,I'll Be Over You,Toto,rock,album rock classic rock mellow gold
1986,100,Go Home,Stevie Wonder,funk,adult standards funk motown
1987,1,Walk Like an Egyptian,The Bangles,rock,album rock jangle pop mellow gold
1987,2,Alone,Heart,rock,album rock classic rock hard rock
1987,3,Shake You Down,Gregory Abbott,N/A,
1987,4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,pop,dance pop pop urban contemporary
1987,5,Nothing's Gonna Stop Us Now,Starship,rock,album rock mellow gold new romantic
1987,6,C'est La Vie,Robbie Nevil,pop,new wave pop
1987,7,Here I Go Again,Whitesnake,rock,album rock british blues classic rock
1987,8,The Way It Is,Bruce Hornsby and the Range,rock,mellow gold soft rock
1987,9,Shakedown,Bob Seger,rock,album rock classic rock country rock
1987,10,Livin' on a Prayer,Bon Jovi,rock,glam metal rock
1987,11,La Bamba,Los Lobos,rock,roots rock
1987,12,Everybody Have Fun Tonight,Wang Chung,rock,album rock mellow gold new romantic
1987,13,Don't Dream It's Over,Crowded House,rock,australian rock mellow gold permanent wave
1987,14,Always,Atlantic Starr,disco,contemporary r&b disco funk
1987,15,With or Without You,U2,rock,irish rock permanent wave rock
1987,16,Looking for a New Love,Jody Watley,disco,contemporary r&b disco freestyle
1987,17,Head to Toe,Lisa Lisa and Cult Jam,funk,electro freestyle funk
1987,18,I Think We're Alone Now,Tiffany,rock,adult standards new wave pop soft rock
1987,19,Mony Mony,Billy Idol,rock,album rock classic rock dance rock
1987,20,At This Moment,Billy Vera and the Beaters,N/A,
1987,21,The Lady in Red,Chris de Burgh,rock,mellow gold new wave pop soft rock
1987,22,Didn't We Almost Have It All,Whitney Houston,pop,dance pop pop urban contemporary
1987,23,I Still Haven't Found What I'm Looking For,U2,rock,irish rock permanent wave rock
1987,24,I Want Your Sex,George Michael,pop,dance pop new wave pop
1987,25,Notorious,Duran Duran,rock,dance rock new romantic new wave
1987,26,Only in My Dreams,Debbie Gibson,rock,new wave pop soft rock
1987,27,(I've Had) The Time of My Life,Bill Medley and Jennifer Warnes,N/A,
1987,28,The Next Time I Fall,Peter Cetera and Amy Grant,adult standards,adult standards mellow gold new wave pop
1987,29,Lean on Me,Club Nouveau,funk,electro freestyle funk
1987,30,Open Your Heart,Madonna,pop,dance pop pop
1987,31,Lost in Emotion,Lisa Lisa and Cult Jam,funk,electro freestyle funk
1987,32,(I Just) Died In Your Arms,Cutting Crew,rock,album rock mellow gold new romantic
1987,33,Heart and Soul,T'Pau,pop,new romantic new wave new wave pop
1987,34,You Keep Me Hangin' On,Kim Wilde,pop,europop new romantic new wave
1987,35,Keep Your Hands to Yourself,Georgia Satellites,rock,album rock blues rock classic rock
1987,36,I Knew You Were Waiting (For Me),Aretha Franklin and George Michael,adult standards,adult standards classic soul jazz blues
1987,37,Control,Janet Jackson,soul,dance pop hip pop neo soul
1987,38,U Got the Look,Prince,rock,funk funk rock minneapolis sound
1987,39,Somewhere Out There,Linda Ronstadt and James Ingram,rock,adult standards country rock folk
1987,40,Land of Confusion,Genesis,rock,album rock art rock classic rock
1987,41,Jacob's Ladder,Huey Lewis and the News,rock,album rock classic rock mellow gold
1987,42,Who's That Girl,Madonna,pop,dance pop pop
1987,43,You Got It All,The Jets,pop,freestyle minneapolis sound new wave pop
1987,44,Touch Me (I Want Your Body),Samantha Fox,disco,europop hi-nrg italian disco
1987,45,I Just Can't Stop Loving You,Michael Jackson with Siedah Garrett,N/A,movie tunes
1987,46,Causing a Commotion,Madonna,pop,dance pop pop
1987,47,In Too Deep,Genesis,rock,album rock art rock classic rock
1987,48,Let's Wait Awhile,Janet Jackson,soul,dance pop hip pop neo soul
1987,49,Hip to Be Square,Huey Lewis and the News,rock,album rock classic rock mellow gold
1987,50,Will You Still Love Me?,Chicago,rock,adult standards album rock classic rock
1987,51,Little Lies,Fleetwood Mac,rock,album rock classic rock rock
1987,52,Luka,Suzanne Vega,pop,lilith new wave pop permanent wave
1987,53,I Heard A Rumour,Bananarama,disco,dance pop disco europop
1987,54,Don't Mean Nothing,Richard Marx,rock,album rock mellow gold new wave pop
1987,55,Songbird,Kenny G,jazz,smooth jazz smooth saxophone
1987,56,Carrie,Europe,rock,album rock glam metal hard rock
1987,57,Don't Disturb This Groove,The System,disco,funk post-disco quiet storm
1987,58,La Isla Bonita,Madonna,pop,dance pop pop
1987,59,Bad,Michael Jackson,r&b,pop r&b soul
1987,60,Sign o' the Times,Prince,rock,funk funk rock minneapolis sound
1987,61,Change of Heart,Cyndi Lauper,rock,new wave pop permanent wave soft rock
1987,62,Come Go with Me,Expose,pop,freestyle new wave pop
1987,63,Can't We Try,Dan Hill featuring Vonda Shepard,rock,adult standards mellow gold soft rock
1987,64,To Be a Lover,Billy Idol,rock,album rock classic rock dance rock
1987,65,Mandolin Rain,Bruce Hornsby and the Range,rock,mellow gold soft rock
1987,66,Breakout,Swing Out Sister,pop,new romantic new wave pop sophisti-pop
1987,67,Stand by Me,Ben E. King,rock,adult standards rock-and-roll soul
1987,68,"Tonight, Tonight, Tonight",Genesis,rock,album rock art rock classic rock
1987,69,Someday,Glass Tiger,rock,album rock classic canadian rock mellow gold
1987,70,When Smokey Sings,ABC,rock,art rock dance rock new romantic
1987,71,Casanova,LeVert,funk,contemporary r&b funk neo soul
1987,72,Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,N/A,
1987,73,Rock Steady,The Whispers,disco,classic soul disco funk
1987,74,Wanted Dead or Alive,Bon Jovi,rock,glam metal rock
1987,75,Big Time,Peter Gabriel,rock,album rock art rock classic rock
1987,76,The Finer Things,Steve Winwood,rock,album rock art rock classic rock
1987,77,Let Me Be the One,Expose,pop,freestyle new wave pop
1987,78,Is This Love,Survivor,rock,album rock hard rock rock
1987,79,Diamonds,Herb Alpert,adult standards,adult standards easy listening lounge
1987,80,Point of No Return,Expose,pop,freestyle new wave pop
1987,81,Big Love,Fleetwood Mac,rock,album rock classic rock rock
1987,82,Midnight Blue,Lou Gramm,rock,album rock mellow gold soft rock
1987,83,Something So Strong,Crowded House,rock,australian rock mellow gold permanent wave
1987,84,Heat of the Night,Bryan Adams,rock,album rock canadian pop canadian singer-songwriter
1987,85,Nothing's Gonna Change My Love for You,Glenn Medeiros,rock,soft rock
1987,86,Brilliant Disguise,Bruce Springsteen,rock,classic rock heartland rock mellow gold
1987,87,Just to See Her,Smokey Robinson,disco,classic soul disco funk
1987,88,Who Will You Run To,Heart,rock,album rock classic rock hard rock
1987,89,Respect Yourself,Bruce Willis,N/A,hollywood
1987,90,Cross My Broken Heart,The Jets,pop,freestyle minneapolis sound new wave pop
1987,91,Victory,Kool & the Gang,disco,disco funk quiet storm
1987,92,Don't Get Me Wrong,The Pretenders,rock,album rock art rock classic rock
1987,93,Doing It All for My Baby,Huey Lewis and the News,rock,album rock classic rock mellow gold
1987,94,Right on Track,Breakfast Club,pop,new wave pop
1987,95,Ballerina Girl,Lionel Richie,disco,adult standards disco mellow gold
1987,96,Meet Me Half Way,Kenny Loggins,rock,album rock mellow gold new wave pop
1987,97,I've Been in Love Before,Cutting Crew,rock,album rock mellow gold new romantic
1987,98,(You Gotta) Fight for Your Right (To Party!),Beastie Boys,rock,alternative rock east coast hip hop golden age hip hop
1987,99,Funkytown,Pseudo Echo,rock,australian rock dance rock new romantic
1987,100,Love You Down,Ready for the World,r&b,boy band contemporary r&b electro
1988,1,Faith,George Michael,pop,dance pop new wave pop
1988,2,Need You Tonight,INXS,rock,australian rock classic rock dance rock
1988,3,Got My Mind Set on You,George Harrison,rock,album rock beatlesque classic rock
1988,4,Never Gonna Give You Up,Rick Astley,pop,europop new romantic new wave
1988,5,Sweet Child o' Mine,Guns N' Roses,rock,glam metal hard rock rock
1988,6,So Emotional,Whitney Houston,pop,dance pop pop urban contemporary
1988,7,Heaven Is a Place on Earth,Belinda Carlisle,pop,dance pop new romantic new wave pop
1988,8,Could've Been,Tiffany,rock,adult standards new wave pop soft rock
1988,9,Hands to Heaven,Breathe,pop,electropowerpop neon pop punk pop dance
1988,10,Roll with It,Steve Winwood,rock,album rock art rock classic rock
1988,11,One More Try,George Michael,pop,dance pop new wave pop
1988,12,Wishing Well,Terence Trent D'Arby,pop,new wave pop
1988,13,Anything for You,Gloria Estefan and Miami Sound Machine,N/A,
1988,14,The Flame,Cheap Trick,rock,album rock art rock beatlesque
1988,15,"Get Outta My Dreams, Get into My Car",Billy Ocean,disco,disco mellow gold new romantic
1988,16,Seasons Change,Expose,pop,freestyle new wave pop
1988,17,Is This Love,Whitesnake,rock,album rock british blues classic rock
1988,18,"Wild, Wild West",The Escape Club,N/A,
1988,19,Pour Some Sugar on Me,Def Leppard,rock,album rock hard rock nwobhm
1988,20,I'll Always Love You,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1988,21,Man in the Mirror,Michael Jackson,r&b,pop r&b soul
1988,22,Shake Your Love,Debbie Gibson,rock,new wave pop soft rock
1988,23,Simply Irresistible,Robert Palmer,rock,album rock art rock blues rock
1988,24,Hold On to the Nights,Richard Marx,rock,album rock mellow gold new wave pop
1988,25,Hungry Eyes,Eric Carmen,rock,adult standards album rock bubblegum pop
1988,26,Shattered Dreams,Johnny Hates Jazz,N/A,mellow gold new romantic new wave
1988,27,Father Figure,George Michael,pop,dance pop new wave pop
1988,28,Naughty Girls (Need Love Too),Samantha Fox,disco,europop hi-nrg italian disco
1988,29,A Groovy Kind of Love,Phil Collins,rock,mellow gold rock drums soft rock
1988,30,Love Bites,Def Leppard,rock,album rock hard rock nwobhm
1988,31,Endless Summer Nights,Richard Marx,rock,album rock mellow gold new wave pop
1988,32,Foolish Beat,Debbie Gibson,rock,new wave pop soft rock
1988,33,Where Do Broken Hearts Go,Whitney Houston,pop,dance pop pop urban contemporary
1988,34,Angel,Aerosmith,rock,album rock classic rock hard rock
1988,35,A Hazy Shade of Winter,The Bangles,rock,album rock jangle pop mellow gold
1988,36,The Way You Make Me Feel,Michael Jackson,r&b,pop r&b soul
1988,37,"Don't Worry, Be Happy",Bobby McFerrin,N/A,a cappella
1988,38,Make Me Lose Control,Eric Carmen,rock,adult standards album rock bubblegum pop
1988,39,Red Red Wine,UB40,reggae,reggae fusion uk reggae
1988,40,She's Like the Wind,Patrick Swayze featuring Wendy Fraser,N/A,indie folk indie quebecois
1988,41,Bad Medicine,Bon Jovi,rock,glam metal rock
1988,42,Kokomo,The Beach Boys,rock,adult standards baroque pop classic rock
1988,43,I Don't Wanna Go on with You Like That,Elton John,rock,glam rock mellow gold piano rock
1988,44,Together Forever,Rick Astley,pop,europop new romantic new wave
1988,45,Monkey,George Michael,pop,dance pop new wave pop
1988,46,Devil Inside,INXS,rock,australian rock classic rock dance rock
1988,47,Should've Known Better,Richard Marx,rock,album rock mellow gold new wave pop
1988,48,I Don't Wanna Live Without Your Love,Chicago,rock,adult standards album rock classic rock
1988,49,The Loco Motion,Kylie Minogue,pop,australian dance australian pop dance pop
1988,50,What Have I Done to Deserve This?,Pet Shop Boys with Dusty Springfield,rock,adult standards british invasion classic rock
1988,51,Make It Real,The Jets,pop,freestyle minneapolis sound new wave pop
1988,52,What's On Your Mind (Pure Energy),Information Society,N/A,freestyle new romantic new wave
1988,53,Tell It to My Heart,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1988,54,Out of the Blue,Debbie Gibson,rock,new wave pop soft rock
1988,55,Don't You Want Me,Jody Watley,disco,contemporary r&b disco freestyle
1988,56,Desire,U2,rock,irish rock permanent wave rock
1988,57,I Get Weak,Belinda Carlisle,pop,dance pop new romantic new wave pop
1988,58,Sign Your Name,Terence Trent D'Arby,pop,new wave pop
1988,59,I Want to Be Your Man,Roger,funk,funk
1988,60,Girlfriend,Pebbles,N/A,
1988,61,Dirty Diana,Michael Jackson,r&b,pop r&b soul
1988,62,1_2_3,Gloria Estefan and Miami Sound Machine,N/A,
1988,63,Mercedes Boy,Pebbles,N/A,
1988,64,Perfect World,Huey Lewis and the News,rock,album rock classic rock mellow gold
1988,65,New Sensation,INXS,rock,australian rock classic rock dance rock
1988,66,Catch Me (I'm Falling),Pretty Poison,N/A,freestyle
1988,67,If It Isn't Love,New Edition,r&b,boy band contemporary r&b neo soul
1988,68,Rocket 2 U,The Jets,pop,freestyle minneapolis sound new wave pop
1988,69,One Good Woman,Peter Cetera,adult standards,adult standards mellow gold new wave pop
1988,70,Don't Be Cruel,Cheap Trick,rock,album rock art rock beatlesque
1988,71,Candle in the Wind,Elton John,rock,glam rock mellow gold piano rock
1988,72,Everything Your Heart Desires,Daryl Hall & John Oates,rock,album rock classic rock mellow gold
1988,73,Say You Will,Foreigner,rock,album rock classic rock hard rock
1988,74,I Want Her,Keith Sweat,r&b,contemporary r&b neo soul new jack swing
1988,75,Pink Cadillac,Natalie Cole,adult standards,adult standards lounge quiet storm
1988,76,Fast Car,Tracy Chapman,N/A,folk lilith singer-songwriter
1988,77,Electric Blue,Icehouse,rock,australian rock mellow gold new romantic
1988,78,The Valley Road,Bruce Hornsby and the Range,rock,mellow gold soft rock
1988,79,Don't Be Cruel,Bobby Brown,funk,contemporary r&b funk hip hop
1988,80,Always on My Mind,Pet Shop Boys,rock,art pop dance rock europop
1988,81,Piano in the Dark,Brenda Russell featuring Joe Esposito,jazz,quiet storm smooth jazz urban contemporary
1988,82,When It's Love,Van Halen,rock,album rock classic rock hard rock
1988,83,Don't Shed a Tear,Paul Carrack,rock,mellow gold new wave pop soft rock
1988,84,We'll Be Together,Sting,rock,permanent wave soft rock sophisti-pop
1988,85,I Hate Myself for Loving You,Joan Jett and the Blackhearts,rock,glam punk rock
1988,86,I Don't Want to Live Without You,Foreigner,rock,album rock classic rock hard rock
1988,87,Nite and Day,Al B. Sure!,funk,contemporary r&b funk new jack swing
1988,88,Don't You Know What the Night Can Do?,Steve Winwood,rock,album rock art rock classic rock
1988,89,One Moment in Time,Whitney Houston,pop,dance pop pop urban contemporary
1988,90,Can't Stay Away from You,Gloria Estefan and Miami Sound Machine,N/A,
1988,91,Kissing a Fool,George Michael,pop,dance pop new wave pop
1988,92,Cherry Bomb,John Cougar Mellencamp,rock,album rock classic rock folk rock
1988,93,I Still Believe,Brenda K. Starr,N/A,freestyle
1988,94,I Found Someone,Cher,pop,dance pop hollywood new wave pop
1988,95,Never Tear Us Apart,INXS,rock,australian rock classic rock dance rock
1988,96,Valerie,Steve Winwood,rock,album rock art rock classic rock
1988,97,Just Like Paradise,David Lee Roth,rock,album rock classic rock glam metal
1988,98,Nothin' but a Good Time,Poison,rock,album rock glam metal hard rock
1988,99,Wait,White Lion,rock,album rock glam metal hard rock
1988,100,Prove Your Love,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1989,1,Look Away,Chicago,rock,adult standards album rock classic rock
1989,2,My Prerogative,Bobby Brown,funk,contemporary r&b funk hip hop
1989,3,Every Rose Has Its Thorn,Poison,rock,album rock glam metal hard rock
1989,4,Straight Up,Paula Abdul,rock,dance pop new wave pop soft rock
1989,5,Miss You Much,Janet Jackson,soul,dance pop hip pop neo soul
1989,6,Cold Hearted,Paula Abdul,rock,dance pop new wave pop soft rock
1989,7,Wind Beneath My Wings,Bette Midler,adult standards,adult standards mellow gold new wave pop
1989,8,Girl You Know It's True,Milli Vanilli,N/A,new jack swing
1989,9,"Baby, I Love Your Way/Freebird Medley",Will to Power,N/A,freestyle
1989,10,Giving You the Best That I Got,Anita Baker,funk,contemporary r&b funk neo soul
1989,11,Right Here Waiting,Richard Marx,rock,album rock mellow gold new wave pop
1989,12,Waiting For a Star to Fall,Boy Meets Girl,pop,new wave pop
1989,13,Lost in Your Eyes,Debbie Gibson,rock,new wave pop soft rock
1989,14,Don't Wanna Lose You,Gloria Estefan,rock,latin pop new wave pop soft rock
1989,15,Heaven,Warrant,rock,album rock glam metal hard rock
1989,16,Girl I'm Gonna Miss You,Milli Vanilli,N/A,new jack swing
1989,17,The Look,Roxette,rock,europop new wave pop soft rock
1989,18,She Drives Me Crazy,Fine Young Cannibals,rock,art rock dance rock mellow gold
1989,19,On Our Own,Bobby Brown,funk,contemporary r&b funk hip hop
1989,20,Two Hearts,Phil Collins,rock,mellow gold rock drums soft rock
1989,21,Blame It on the Rain,Milli Vanilli,N/A,new jack swing
1989,22,Listen to Your Heart,Roxette,rock,europop new wave pop soft rock
1989,23,I'll Be There for You,Bon Jovi,rock,glam metal rock
1989,24,If You Don't Know Me by Now,Simply Red,soul,british soul mellow gold new romantic
1989,25,Like a Prayer,Madonna,pop,dance pop pop
1989,26,I'll Be Loving You (Forever),New Kids on the Block,N/A,boy band
1989,27,How Can I Fall?,Breathe,pop,electropowerpop neon pop punk pop dance
1989,28,Baby Don't Forget My Number,Milli Vanilli,N/A,new jack swing
1989,29,Toy Soldiers,Martika,pop,minneapolis sound new wave pop
1989,30,Forever Your Girl,Paula Abdul,rock,dance pop new wave pop soft rock
1989,31,The Living Years,Mike + The Mechanics,rock,album rock art rock classic rock
1989,32,Eternal Flame,The Bangles,rock,album rock jangle pop mellow gold
1989,33,Wild Thing,Tone Loc,N/A,
1989,34,When I See You Smile,Bad English,rock,album rock glam metal hard rock
1989,35,If I Could Turn Back Time,Cher,pop,dance pop hollywood new wave pop
1989,36,Buffalo Stance,Neneh Cherry,pop,new wave pop urban contemporary
1989,37,When I'm with You,Sheriff,rock,classic canadian rock
1989,38,Don't Rush Me,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1989,39,Born to Be My Baby,Bon Jovi,rock,glam metal rock
1989,40,Good Thing,Fine Young Cannibals,rock,art rock dance rock mellow gold
1989,41,The Lover in Me,Sheena Easton,adult standards,adult standards mellow gold minneapolis sound
1989,42,Bust a Move,Young MC,hip hop,hip hop rap
1989,43,"Once Bitten, Twice Shy",Great White,rock,album rock classic rock glam metal
1989,44,Batdance,Prince,rock,funk funk rock minneapolis sound
1989,45,Rock On,Michael Damian,N/A,
1989,46,Real Love,Jody Watley,disco,contemporary r&b disco freestyle
1989,47,Love Shack,The B 52s,rock,art rock dance rock new romantic
1989,48,Every Little Step,Bobby Brown,funk,contemporary r&b funk hip hop
1989,49,Hangin' Tough,New Kids on the Block,N/A,boy band
1989,50,My Heart Can't Tell You No,Rod Stewart,rock,classic rock mellow gold soft rock
1989,51,So Alive,Love and Rockets,rock,dream pop gothic rock new romantic
1989,52,You Got It (The Right Stuff),New Kids on the Block,N/A,boy band
1989,53,Armageddon It,Def Leppard,rock,album rock hard rock nwobhm
1989,54,Satisfied,Richard Marx,rock,album rock mellow gold new wave pop
1989,55,Express Yourself,Madonna,pop,dance pop pop
1989,56,I Like It,Dino,rock,alternative pop alternative rock blues rock
1989,57,Soldier of Love,Donny Osmond,adult standards,adult standards bubblegum pop classic uk pop
1989,58,Sowing the Seeds of Love,Tears for Fears,pop,new romantic new wave new wave pop
1989,59,Cherish,Madonna,pop,dance pop pop
1989,60,When the Children Cry,White Lion,rock,album rock glam metal hard rock
1989,61,18 and Life,Skid Row,rock,album rock glam metal hard rock
1989,62,I Don't Want Your Love,Duran Duran,rock,dance rock new romantic new wave
1989,63,Second Chance,.38 Special,rock,album rock classic rock country rock
1989,64,The Way You Love Me,Karyn White,r&b,contemporary r&b minneapolis sound new jack swing
1989,65,Funky Cold Medina,Tone Loc,N/A,
1989,66,In Your Room,The Bangles,rock,album rock jangle pop mellow gold
1989,67,Miss You Like Crazy,Natalie Cole,adult standards,adult standards lounge quiet storm
1989,68,Lovesong,The Cure,rock,new wave permanent wave rock
1989,69,Secret Rendezvous,Karyn White,r&b,contemporary r&b minneapolis sound new jack swing
1989,70,Angel Eyes,The Jeff Healey Band,rock,blues rock canadian blues electric blues
1989,71,Patience,Guns N' Roses,rock,glam metal hard rock rock
1989,72,Walk on Water,Eddie Money,rock,album rock classic rock country rock
1989,73,Cover Girl,New Kids on the Block,N/A,boy band
1989,74,Welcome to the Jungle,Guns N' Roses,rock,glam metal hard rock rock
1989,75,Shower Me With Your Love,Surface,soul,bedroom soul pop
1989,76,Stand,R.E.M.,rock,alternative rock athens indie classic rock
1989,77,Close My Eyes Forever,Lita Ford and Ozzy Osbourne,rock,album rock birmingham metal hard rock
1989,78,All This Time,Tiffany,rock,adult standards new wave pop soft rock
1989,79,After All,Cher and Peter Cetera,adult standards,adult standards mellow gold new wave pop
1989,80,Roni,Bobby Brown,funk,contemporary r&b funk hip hop
1989,81,Love in an Elevator,Aerosmith,rock,album rock classic rock hard rock
1989,82,Lay Your Hands on Me,Bon Jovi,rock,glam metal rock
1989,83,The Promise,When in Rome,pop,new romantic new wave new wave pop
1989,84,What I Am,Edie Brickell & New Bohemians,pop,lilith new wave pop
1989,85,I Remember Holding You,Boys Club,N/A,
1989,86,Paradise City,Guns N' Roses,rock,glam metal hard rock rock
1989,87,I Wanna Have Some Fun,Samantha Fox,disco,europop hi-nrg italian disco
1989,88,She Wants to Dance with Me,Rick Astley,pop,europop new romantic new wave
1989,89,Dreamin',Vanessa Williams,adult standards,adult standards contemporary r&b quiet storm
1989,90,It's No Crime,Babyface,hip hop,detroit trap trap
1989,91,Poison,Alice Cooper,rock,album rock blues rock classic rock
1989,92,This Time I Know It's for Real,Donna Summer,disco,dance pop disco hi-nrg
1989,93,Smooth Criminal,Michael Jackson,r&b,pop r&b soul
1989,94,Heaven Help Me,Deon Estus,pop,sophisti-pop
1989,95,Rock Wit'cha,Bobby Brown,funk,contemporary r&b funk hip hop
1989,96,Thinking of You,Sa Fire,pop,korean pop
1989,97,What You Don't Know,Expose,pop,freestyle new wave pop
1989,98,Surrender To Me,Ann Wilson and Robin Zander,rock,album rock
1989,99,The End of the Innocence,Don Henley,rock,album rock art rock classic rock
1989,100,Keep on Movin',Soul II Soul,disco,british soul funk post-disco
1990,1,Hold On,Wilson Phillips,pop,girl group mellow gold new wave pop
1990,2,It Must Have Been Love,Roxette,rock,europop new wave pop soft rock
1990,3,Nothing Compares 2 U,Sinead O'Connor,pop,lilith new wave pop
1990,4,Poison,Bell Biv DeVoe,r&b,boy band contemporary r&b hip hop
1990,5,Vogue,Madonna,pop,dance pop pop
1990,6,Vision of Love,Mariah Carey,pop,dance pop urban contemporary
1990,7,Another Day in Paradise,Phil Collins,rock,mellow gold rock drums soft rock
1990,8,Hold On,En Vogue,r&b,contemporary r&b dance pop girl group
1990,9,Cradle of Love,Billy Idol,rock,album rock classic rock dance rock
1990,10,Blaze of Glory,Jon Bon Jovi,rock,glam metal hard rock
1990,11,Do Me!,Bell Biv DeVoe,r&b,boy band contemporary r&b hip hop
1990,12,How Am I Supposed to Live Without You,Michael Bolton,rock,soft rock
1990,13,Pump Up the Jam,Technotronic,pop,eurodance europop hip house
1990,14,Opposites Attract,Paula Abdul and The Wild Pair,rock,dance pop new wave pop soft rock
1990,15,Escapade,Janet Jackson,soul,dance pop hip pop neo soul
1990,16,All I Wanna Do Is Make Love to You,Heart,rock,album rock classic rock hard rock
1990,17,Close to You,Maxi Priest,rock,lovers rock reggae reggae fusion
1990,18,Black Velvet,Alannah Myles,rock,classic canadian rock new wave pop
1990,19,Release Me,Wilson Phillips,pop,girl group mellow gold new wave pop
1990,20,Don't Know Much,Linda Ronstadt and Aaron Neville,rock,adult standards country rock folk
1990,21,All Around the World,Lisa Stansfield,disco,british soul dance pop disco
1990,22,I Wanna Be Rich,Calloway,N/A,
1990,23,Rub You the Right Way,Johnny Gill,funk,contemporary r&b funk neo soul
1990,24,She Ain't Worth It,Glenn Medeiros and Bobby Brown,rock,soft rock
1990,25,If Wishes Came True,Sweet Sensation,N/A,freestyle
1990,26,The Power,Snap!,pop,diva house eurodance europop
1990,27,(Can't Live Without Your) Love and Affection,Nelson,rock,classic country pop country country rock
1990,28,Love Will Lead You Back,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1990,29,Don't Wanna Fall in Love,Jane Child,pop,new wave pop
1990,30,Two to Make It Right,Seduction,N/A,freestyle
1990,31,Sending All My Love,Linear,N/A,focus beats lo-fi brasileiro sad lo-fi
1990,32,Unskinny Bop,Poison,rock,album rock glam metal hard rock
1990,33,Step by Step,New Kids on the Block,N/A,boy band
1990,34,Dangerous,Roxette,rock,europop new wave pop soft rock
1990,35,We Didn't Start the Fire,Billy Joel,rock,classic rock mellow gold piano rock
1990,36,I Don't Have the Heart,James Ingram,rock,adult standards quiet storm soft rock
1990,37,Downtown Train,Rod Stewart,rock,classic rock mellow gold soft rock
1990,38,Rhythm Nation,Janet Jackson,soul,dance pop hip pop neo soul
1990,39,I'll Be Your Everything,Tommy Page,r&b,contemporary r&b
1990,40,Roam,The B 52s,rock,art rock dance rock new romantic
1990,41,Everything,Jody Watley,disco,contemporary r&b disco freestyle
1990,42,Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler,soul,british soul
1990,43,Here and Now,Luther Vandross,funk,contemporary r&b funk neo soul
1990,44,Alright,Janet Jackson,soul,dance pop hip pop neo soul
1990,45,Ice Ice Baby,Vanilla Ice,hip hop,hip house miami hip hop
1990,46,Blame It on the Rain,Milli Vanilli,N/A,new jack swing
1990,47,Have You Seen Her,MC Hammer,hip hop,hip hop hip house rap
1990,48,With Every Beat of My Heart,Taylor Dayne,pop,dance pop hi-nrg new wave pop
1990,49,Come Back to Me,Janet Jackson,soul,dance pop hip pop neo soul
1990,50,No More Lies,Michel'le,pop,candy pop dance pop lilith
1990,51,Praying for Time,George Michael,pop,dance pop new wave pop
1990,52,How Can We Be Lovers,Michael Bolton,rock,soft rock
