Year,Chart,Negative,Neutral,Positive,Compound
1962,11,0.0,1.0,0.0,0.0
1962,12,0.0,1.0,0.0,0.0
1962,13,0.0,1.0,0.0,0.0
1962,14,0.0,1.0,0.0,0.0
1962,15,0.219,0.781,0.0,-0.1027
1962,16,0.0,1.0,0.0,0.0
1962,17,0.0,1.0,0.0,0.0
1962,18,0.0,1.0,0.0,0.0
1962,19,0.0,0.556,0.444,0.6115
1962,20,0.0,0.0,1.0,0.8225
1962,21,0.0,1.0,0.0,0.0
1962,22,0.0,1.0,0.0,0.0
1962,23,0.0,1.0,0.0,0.0
1962,24,0.0,1.0,0.0,0.0
1962,25,0.0,1.0,0.0,0.0
1962,26,0.0,0.571,0.429,0.4588
1962,27,0.0,1.0,0.0,0.0
1962,28,0.0,1.0,0.0,0.0
1962,29,0.0,0.417,0.583,0.4215
1962,30,0.722,0.278,0.0,-0.3818
1962,31,0.0,0.619,0.381,0.5719
1962,32,0.0,0.435,0.565,0.3818
1962,33,0.0,1.0,0.0,0.0
1962,34,0.0,0.192,0.808,0.6369
1962,35,0.0,0.27,0.73,0.4019
1962,36,0.0,1.0,0.0,0.0
1962,37,0.0,1.0,0.0,0.0
1962,38,0.0,1.0,0.0,0.0
1962,39,0.0,1.0,0.0,0.0
1962,40,0.0,1.0,0.0,0.0
1962,41,0.0,0.0,1.0,0.7269
1962,42,0.328,0.488,0.184,-0.357
1962,43,0.0,1.0,0.0,0.0
1962,44,0.0,1.0,0.0,0.0
1962,45,0.0,1.0,0.0,0.0
1962,46,0.0,1.0,0.0,0.0
1962,47,0.508,0.492,0.0,-0.4767
1962,48,0.0,1.0,0.0,0.0
1962,49,0.0,1.0,0.0,0.0
1962,50,0.0,1.0,0.0,0.0
1962,51,0.0,1.0,0.0,0.0
1962,52,0.0,0.27,0.73,0.4019
1962,53,0.0,1.0,0.0,0.0
1962,54,0.0,1.0,0.0,0.0
1962,55,0.0,1.0,0.0,0.0
1962,56,0.623,0.377,0.0,-0.5106
1962,57,0.228,0.202,0.57,0.5245
1962,58,0.0,1.0,0.0,0.0
1962,59,0.0,1.0,0.0,0.0
1962,60,0.0,1.0,0.0,0.0
1962,61,0.0,1.0,0.0,0.0
1962,62,0.0,1.0,0.0,0.0
1962,63,0.0,0.595,0.405,0.5267
1962,64,0.0,1.0,0.0,0.0
1962,65,0.0,0.714,0.286,0.25
1962,66,0.0,1.0,0.0,0.0
1962,67,0.0,0.37,0.63,0.5267
1962,68,0.0,1.0,0.0,0.0
1962,69,0.0,1.0,0.0,0.0
1962,70,0.0,1.0,0.0,0.0
1962,71,0.355,0.263,0.382,0.0516
1962,72,0.0,1.0,0.0,0.0
1962,73,0.0,0.519,0.481,0.5719
1962,74,0.0,1.0,0.0,0.0
1962,75,0.0,1.0,0.0,0.0
1962,76,0.0,0.33,0.67,0.7269
1962,77,0.0,1.0,0.0,0.0
1962,78,0.0,1.0,0.0,0.0
1962,79,0.0,0.278,0.722,0.3818
1962,80,0.0,1.0,0.0,0.0
1962,81,0.0,1.0,0.0,0.0
1962,82,0.0,0.508,0.492,0.4404
1962,83,0.0,1.0,0.0,0.0
1962,84,0.0,1.0,0.0,0.0
1962,85,0.0,1.0,0.0,0.0
1962,86,0.0,1.0,0.0,0.0
1962,87,0.0,1.0,0.0,0.0
1962,88,0.0,1.0,0.0,0.0
1962,89,0.0,1.0,0.0,0.0
1962,90,0.0,1.0,0.0,0.0
1962,91,0.0,1.0,0.0,0.0
1962,92,0.0,1.0,0.0,0.0
1962,93,0.0,1.0,0.0,0.0
1962,94,0.0,1.0,0.0,0.0
1962,95,0.0,1.0,0.0,0.0
1962,96,0.0,0.543,0.457,0.6369
1962,97,0.0,0.514,0.486,0.2235
1962,98,0.0,1.0,0.0,0.0
1962,99,0.0,0.597,0.403,0.4019
1962,100,0.0,1.0,0.0,0.0
1963,1,0.0,1.0,0.0,0.0
1963,2,0.0,1.0,0.0,0.0
1963,3,0.0,1.0,0.0,0.0
1963,4,0.0,0.489,0.511,0.2716
1963,5,0.0,1.0,0.0,0.0
1963,6,0.0,1.0,0.0,0.0
1963,7,0.0,1.0,0.0,0.0
1963,8,0.342,0.658,0.0,-0.3818
1963,9,0.0,1.0,0.0,0.0
1963,10,0.0,1.0,0.0,0.0
1963,11,0.0,0.402,0.598,0.6666
1963,12,0.0,1.0,0.0,0.0
1963,13,0.0,1.0,0.0,0.0
1963,14,0.0,1.0,0.0,0.0
1963,15,0.0,0.323,0.677,0.6369
1963,16,0.0,1.0,0.0,0.0
1963,17,0.0,1.0,0.0,0.0
1963,18,0.0,0.444,0.556,0.3612
1963,19,0.0,1.0,0.0,0.0
1963,20,0.0,1.0,0.0,0.0
1963,21,0.0,1.0,0.0,0.0
1963,22,0.0,1.0,0.0,0.0
1963,23,0.0,0.426,0.574,0.4019
1963,24,0.324,0.676,0.0,-0.34
1963,25,0.0,1.0,0.0,0.0
1963,26,0.0,1.0,0.0,0.0
1963,27,0.0,1.0,0.0,0.0
1963,28,0.0,1.0,0.0,0.0
1963,29,0.0,0.519,0.481,0.5719
1963,30,0.0,1.0,0.0,0.0
1963,31,0.0,0.517,0.483,0.4215
1963,32,0.0,1.0,0.0,0.0
1963,33,0.0,1.0,0.0,0.0
1963,34,0.0,1.0,0.0,0.0
1963,35,0.0,1.0,0.0,0.0
1963,36,0.0,1.0,0.0,0.0
1963,37,0.0,1.0,0.0,0.0
1963,38,0.0,1.0,0.0,0.0
1963,39,0.0,1.0,0.0,0.0
1963,40,0.0,1.0,0.0,0.0
1963,41,0.0,1.0,0.0,0.0
1963,42,0.0,1.0,0.0,0.0
1963,43,0.756,0.244,0.0,-0.4767
1963,44,0.0,1.0,0.0,0.0
1963,45,0.0,1.0,0.0,0.0
1963,46,0.0,1.0,0.0,0.0
1963,47,0.512,0.488,0.0,-0.2732
1963,48,0.0,1.0,0.0,0.0
1963,49,0.0,0.27,0.73,0.4019
1963,50,0.0,1.0,0.0,0.0
1963,51,0.0,0.604,0.396,0.3875
1963,52,0.722,0.278,0.0,-0.3818
1963,53,0.0,1.0,0.0,0.0
1963,54,0.0,0.323,0.677,0.6369
1963,55,0.0,1.0,0.0,0.0
1963,56,0.0,1.0,0.0,0.0
1963,57,0.0,1.0,0.0,0.0
1963,58,0.681,0.319,0.0,-0.7506
1963,59,0.0,1.0,0.0,0.0
1963,60,0.0,1.0,0.0,0.0
1963,61,0.0,0.139,0.861,0.7351
1963,62,0.0,1.0,0.0,0.0
1963,63,0.0,1.0,0.0,0.0
1963,64,0.0,1.0,0.0,0.0
1963,65,0.0,1.0,0.0,0.0
1963,66,0.0,1.0,0.0,0.0
1963,67,0.0,1.0,0.0,0.0
1963,68,0.0,0.678,0.322,0.431
1963,69,0.545,0.455,0.0,-0.34
1963,70,0.0,1.0,0.0,0.0
1963,71,0.0,1.0,0.0,0.0
1963,72,0.508,0.492,0.0,-0.4767
1963,73,0.0,1.0,0.0,0.0
1963,74,0.615,0.385,0.0,-0.4939
1963,75,0.0,1.0,0.0,0.0
1963,76,0.0,1.0,0.0,0.0
1963,77,0.0,1.0,0.0,0.0
1963,78,0.0,1.0,0.0,0.0
1963,79,0.0,1.0,0.0,0.0
1963,80,0.0,1.0,0.0,0.0
1963,81,0.0,1.0,0.0,0.0
1963,82,0.0,1.0,0.0,0.0
1963,83,0.0,1.0,0.0,0.0
1963,84,0.0,1.0,0.0,0.0
1963,85,0.0,1.0,0.0,0.0
1963,86,0.0,1.0,0.0,0.0
1963,87,0.0,0.526,0.474,0.2023
1963,88,0.0,1.0,0.0,0.0
1963,89,0.0,1.0,0.0,0.0
1963,90,0.0,1.0,0.0,0.0
1963,91,0.0,1.0,0.0,0.0
1963,92,0.0,1.0,0.0,0.0
1963,93,0.0,0.0,1.0,0.8395
1963,94,0.0,1.0,0.0,0.0
1963,95,0.0,0.323,0.677,0.6369
1963,96,0.0,1.0,0.0,0.0
1963,97,0.0,1.0,0.0,0.0
1963,98,0.0,1.0,0.0,0.0
1963,99,0.0,1.0,0.0,0.0
1963,100,0.0,1.0,0.0,0.0
1964,1,0.0,0.4,0.6,0.5423
1964,2,0.0,0.351,0.649,0.5719
1964,3,0.0,1.0,0.0,0.0
1964,4,0.0,0.385,0.615,0.4939
1964,5,0.0,1.0,0.0,0.0
1964,6,0.0,0.351,0.649,0.5719
1964,7,0.0,1.0,0.0,0.0
1964,8,0.0,0.556,0.444,0.4939
1964,9,0.0,0.263,0.737,0.4215
1964,10,0.0,0.488,0.512,0.6369
1964,11,0.0,1.0,0.0,0.0
1964,12,0.0,1.0,0.0,0.0
1964,13,0.412,0.588,0.0,-0.1027
1964,14,0.0,0.323,0.677,0.6369
1964,15,0.0,1.0,0.0,0.0
1964,16,0.0,0.179,0.821,0.5574
1964,17,0.0,1.0,0.0,0.0
1964,18,0.0,1.0,0.0,0.0
1964,19,0.0,0.682,0.318,0.6369
1964,20,0.0,1.0,0.0,0.0
1964,21,0.0,0.323,0.677,0.6369
1964,22,1.0,0.0,0.0,-0.3818
1964,23,0.0,0.4,0.6,0.4588
1964,24,0.0,1.0,0.0,0.0
1964,25,0.0,1.0,0.0,0.0
1964,26,0.0,1.0,0.0,0.0
1964,27,0.274,0.354,0.372,0.2732
1964,28,0.683,0.317,0.0,-0.6486
1964,29,0.0,1.0,0.0,0.0
1964,30,0.627,0.373,0.0,-0.5216
1964,31,0.0,1.0,0.0,0.0
1964,32,0.0,1.0,0.0,0.0
1964,33,0.0,0.192,0.808,0.6369
1964,34,0.0,1.0,0.0,0.0
1964,35,0.0,1.0,0.0,0.0
1964,36,0.0,1.0,0.0,0.0
1964,37,0.0,1.0,0.0,0.0
1964,38,0.0,1.0,0.0,0.0
1964,39,0.0,1.0,0.0,0.0
1964,40,0.0,1.0,0.0,0.0
1964,41,0.0,1.0,0.0,0.0
1964,42,0.0,1.0,0.0,0.0
1964,43,0.0,1.0,0.0,0.0
1964,44,0.0,1.0,0.0,0.0
1964,45,0.0,1.0,0.0,0.0
1964,46,0.0,1.0,0.0,0.0
1964,47,0.0,1.0,0.0,0.0
1964,48,0.0,1.0,0.0,0.0
1964,49,0.341,0.659,0.0,-0.4767
1964,50,0.0,1.0,0.0,0.0
1964,51,0.0,1.0,0.0,0.0
1964,52,0.529,0.471,0.0,-0.5216
1964,53,0.0,1.0,0.0,0.0
1964,54,0.0,1.0,0.0,0.0
1964,55,0.0,0.794,0.206,0.0772
1964,56,0.0,1.0,0.0,0.0
1964,57,0.0,0.435,0.565,0.5994
1964,58,0.0,1.0,0.0,0.0
1964,59,0.0,1.0,0.0,0.0
1964,60,0.0,1.0,0.0,0.0
1964,61,0.0,1.0,0.0,0.0
1964,62,0.0,1.0,0.0,0.0
1964,63,0.0,0.58,0.42,0.4404
1964,64,0.0,1.0,0.0,0.0
1964,65,0.0,1.0,0.0,0.0
1964,66,0.0,1.0,0.0,0.0
1964,67,0.0,1.0,0.0,0.0
1964,68,0.0,1.0,0.0,0.0
1964,69,0.0,1.0,0.0,0.0
1964,70,0.0,0.58,0.42,0.4404
1964,71,0.0,1.0,0.0,0.0
1964,72,0.0,1.0,0.0,0.0
1964,73,0.0,0.588,0.412,0.6369
1964,74,0.0,1.0,0.0,0.0
1964,75,0.0,1.0,0.0,0.0
1964,76,0.0,1.0,0.0,0.0
1964,77,0.293,0.707,0.0,-0.4404
1964,78,0.0,1.0,0.0,0.0
1964,79,0.0,1.0,0.0,0.0
1964,80,0.0,1.0,0.0,0.0
1964,81,0.0,0.371,0.629,0.5256
1964,82,0.345,0.273,0.382,0.1045
1964,83,0.0,1.0,0.0,0.0
1964,84,0.0,1.0,0.0,0.0
1964,85,0.332,0.668,0.0,-0.357
1964,86,0.0,1.0,0.0,0.0
1964,87,0.457,0.543,0.0,-0.5216
1964,88,0.0,1.0,0.0,0.0
1964,89,0.0,1.0,0.0,0.0
1964,90,0.0,1.0,0.0,0.0
1964,91,0.0,0.417,0.583,0.6369
1964,92,0.0,1.0,0.0,0.0
1964,93,0.756,0.244,0.0,-0.4767
1964,94,0.762,0.238,0.0,-0.4939
1964,95,0.0,1.0,0.0,0.0
1964,96,0.592,0.408,0.0,-0.4404
1964,97,0.636,0.364,0.0,-0.5423
1964,98,0.0,1.0,0.0,0.0
1964,99,0.0,1.0,0.0,0.0
1964,100,0.0,1.0,0.0,0.0
1965,1,0.762,0.238,0.0,-0.4939
1965,2,0.273,0.727,0.0,-0.3089
1965,3,0.376,0.624,0.0,-0.3412
1965,4,0.0,1.0,0.0,0.0
1965,5,0.365,0.635,0.0,-0.3182
1965,6,0.0,1.0,0.0,0.0
1965,7,0.0,0.0,1.0,0.4574
1965,8,0.0,1.0,0.0,0.0
1965,9,0.508,0.492,0.0,-0.4767
1965,10,0.0,1.0,0.0,0.0
1965,11,0.0,0.426,0.574,0.4019
1965,12,0.0,1.0,0.0,0.0
1965,13,0.0,1.0,0.0,0.0
1965,14,0.0,0.43,0.57,0.6486
1965,15,0.0,1.0,0.0,0.0
1965,16,0.0,1.0,0.0,0.0
1965,17,0.0,0.455,0.545,0.34
1965,18,0.0,1.0,0.0,0.0
1965,19,0.0,0.568,0.432,0.5859
1965,20,0.206,0.374,0.42,0.5093
1965,21,0.0,1.0,0.0,0.0
1965,22,0.0,1.0,0.0,0.0
1965,23,0.0,1.0,0.0,0.0
1965,24,0.688,0.312,0.0,-0.296
1965,25,0.0,1.0,0.0,0.0
1965,26,0.0,1.0,0.0,0.0
1965,27,0.0,0.161,0.839,0.6369
1965,28,0.0,1.0,0.0,0.0
1965,29,0.649,0.351,0.0,-0.5719
1965,30,0.0,1.0,0.0,0.0
1965,31,0.0,1.0,0.0,0.0
1965,32,0.0,1.0,0.0,0.0
1965,33,0.0,1.0,0.0,0.0
1965,34,0.0,0.323,0.677,0.6369
1965,35,0.0,1.0,0.0,0.0
1965,36,0.0,1.0,0.0,0.0
1965,37,0.0,1.0,0.0,0.0
1965,38,0.0,1.0,0.0,0.0
1965,39,0.0,0.476,0.524,0.5106
1965,40,0.0,0.5,0.5,0.4588
1965,41,0.0,0.444,0.556,0.3612
1965,42,0.0,1.0,0.0,0.0
1965,43,0.0,1.0,0.0,0.0
1965,44,0.0,1.0,0.0,0.0
1965,45,0.0,1.0,0.0,0.0
1965,46,0.0,1.0,0.0,0.0
1965,47,0.0,1.0,0.0,0.0
1965,48,0.0,0.323,0.677,0.6369
1965,49,0.0,1.0,0.0,0.0
1965,50,0.0,1.0,0.0,0.0
