Word,Valence Mean,Arousal Mean,Dominance Mean,Happiness Mean,Anger Mean,Sadness Mean,Fear Mean,Disgust Mean
waterfall,7.88,5.37,5.2,3.66,1.14,1.28,1.55,1.17
wealthy,7.7,5.8,6.77,4.03,1.43,1.63,1.5,1.4
weapon,3.97,6.03,5.19,1.38,2.79,2.1,3.79,2
weary,3.79,3.81,4,1.17,1.77,2.73,1.73,1.67
wedding,7.82,5.97,6.68,4.1,1.21,1.52,1.78,1.17
whistle,5.81,4.69,5.27,2.57,1.5,1.3,1.4,1.2
white,6.47,4.37,5.98,2.25,1.21,1.25,1.18,1.29
whore,2.3,5.85,4.61,1.45,2.34,2.55,1.62,3.48
wicked,2.96,6.09,4.36,1.1,3.03,2.1,3.27,2.5
wife,6.33,4.93,5.57,4.45,1.52,1.52,1.41,1.14
win,8.38,7.72,7.39,3.92,1.32,1.35,1.39,1.16
windmill,5.6,3.74,5.24,2.29,1.21,1.25,1.21,1.11
window,5.91,3.97,4.91,2.04,1.11,1.29,1.11,1.11
wine,5.95,4.78,5.31,3.23,1.4,1.9,1.4,1.73
wink,6.93,5.44,5.7,3.13,1.2,1.1,1.17,1.17
wise,7.52,3.91,6.7,3.03,1.35,1.29,1.16,1.23
world,6.5,5.32,5.26,2.55,1.77,1.81,1.84,1.65
wounds,2.51,5.82,3.92,1.52,2.1,2.41,2.45,2.1
writer,5.52,4.33,4.73,2.4,1.5,1.7,1.43,1.5
yacht,6.95,5.61,6.1,3.23,1.33,1.17,1.2,1.4
yellow,5.61,4.43,5.47,1.86,1.32,1.14,1.25,1.18
young,6.89,5.64,5.3,3.4,1.7,1.73,1.57,1.43
youth,6.75,5.67,5.11,3.67,1.77,1.77,1.77,1.7
zest,6.79,5.59,6,2.61,1.19,1.16,1.23,1.29
