Year,Chart,Hapax Count,Hapaxes
1959,46,105,"['gather', 'round', 'tell', 'story', 'about', 'become', 'an', 'tune', 'be', 'rollin', 'soon', 'impressin', 'pickin', 'jazz', 'bought', 'year', 'ago', 'learned', 'play', 'or', 'around', 'town', 'understood', 'knockin', 'em', 'out', 'johnny', 'b', 'goode', 'showin', 'number', 'practice', 'into', 'night', 'papa', 'turnin', 'white', 'cause', 'rock', 'nroll', 'can', 'stay', 'got', 'ta', 'go', 'square', 'at', 'took', 'picks', 'bid', 'farewell', 'poor', 'ole', 'pa', 'split', 'for', 'memphis', 'where', 'say', 'yall', 'them', 'swingin', 'are', 'sessions', 'boppin', 'gettin', 'breaks', 'had', 'what', 'takes', 'when', 'stepped', 'man', 'cigar', 'come', 'cat', 'make', 'bandstand', 'ya', 'sign', 'signed', 'name', 'became', 'driving', 'long', 'fightin', 'ma', 'back', 'acomin', 'screamin', 'pick', 'gittar', 'great', 'grin', 'money', 'pourin', 'then', 'am', 'needs', 'cut', 'your', 'take', 'this', 'rifle', 'gim']"
1959,47,13,"['ca', 'nt', 'explain', 'when', 'we', 're', 'walkin', 'down', 'even', 'bloomin', 'in', 'rain', 'fade']"
1959,48,68,"['alvins', 'again', 'nevermind', 'fellas', 'is', 'so', 'try', 'goof', 'go', 'set', 'hot', 'dog', 'bet', 'keeps', 'playing', 'aw', 'nuts', 'wan', 'if', 'want', 'get', 'kiss', 'take', 'fruit', 'popcorn', 'they', 'always', 'fall', 'love', 'when', 'harmoni', 'corn', 'instrumental', 'interlude', 'thing', 'ok', 'm', 'right', 'make', 'fool', 'yourself', 'few', 'bars', 'music', 'joining', 'wait', 'minute', 'guys', 'goofing', 'was', 'supposed', 'be', 'continues', 'continue', 'with', 'while', 'speaks', ';', 'getting', 'increasingly', 'irritated', 'what', 'did', 'got', 'chaing', 'singing', 'wrecking', 'aaaaaalvin']"
1959,49,29,"['m', 'looking', 'for', 've', 'got', 'tale', 'tell', 'need', 'go', 'weep', 'just', 'loneliness', 'perhaps', 'upon', 'someone', 'such', 'as', 'who', 'came', 'bury', 'watch', 'an', 'old', 'love', 'di', 'ie', 'if', 'could', 'find']"
1959,50,30,"['whatd', 'treat', 'wrong', 'love', 'daddy', 'diamond', 'ring', 'knows', 'how', 'pa', 'm', 'gon', 'send', 'back', 'arkansas', 'yes', 'maam', 'play', 'boy', 'instrumental', 'break', 'red', 'dress', 'can', 'birdland', 'well', 'post', 'interlude', '!', '3']"
1959,51,45,"['br', 'oooo', 'ken', 'eee', 'lo', 'dy', 'wiiiiith', 'must', 'reminding', 'lips', 'long', 'kiss', 'miss', 'since', 'went', 'away', 'night', 'day', 'they', 'play', 'used', 'young', 'bright', 'as', 'held', 'tight', 'suddenly', 'found', 'heaven', 'bound', 'brooooken', 'wiiiiiith', 'wo', 'nt', 'bring', 'back', 'until', 'yearns', 'for', 'returns', 'no', 'more', 'will', 'be', 'a']"
1959,52,12,"['world', 'seem', 'right', 'darkness', 'bright', 'alone', 'thrill', 'like', 'fill', 'heart', 'with', 'love']"
1959,53,15,"['no', 'cause', 'he', 'been', 'chain', 'gang', 'fee', 'oh', 'she', 'best', 'girl', 'poor', 'boy', 'ever', 'had']"
1959,54,23,"['on', 'rose', 'everybody', 'knows', 'dutch', 'better', 'not', 'touch', 'pretty', 'as', 'daisy', 'out', 'man', 'crazy', 'really', 'do', 'if', 'let', 'her', 'under', 'your', 'skin', '2']"
1959,55,22,"['first', 'time', 'have', 'felt', 'way', 'get', 'kicks', 'or', 'chicks', 'rock', 'nroll', 'long', 'as', 'band', 's', 'play', 'holler', 'shout', 'knock', 'myself', 'right', 'out']"
